id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,mths_since_last_major_derog,acc_now_delinq,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,is_good_customer
90108929,3000, 36 months, 13.99%,102.52,C,C3,Cook I,2 years,MORTGAGE,40000.0,Source Verified,n,debt_consolidation,Debt consolidation,200xx,DC,1.41,1,Nov-2000,1,19.0,,6,0,1401,37.9%,18,w,21.0,0,199468,0,0,0,0,,0,,0,0,0,38.0,3700,1,0,1,0,33245,500.0,0.0,0,0,,190,34,34,3,70.0,19.0,2.0,19.0,6,0,2,1,4,0,4,14,2,6,0.0,0,1,0,66.7,0.0,0,0,221247,1401,500,0,no
90631697,10000, 36 months,  7.59%,311.48,A,A3,ASAC,10+ years,OWN,185000.0,Source Verified,n,home_improvement,Home improvement,920xx,CA,26.15,0,Jul-2000,0,40.0,,24,0,171447,19.7%,69,f,40.0,0,914954,2,3,2,3,1.0,191639,97.0,6,10,3036,45.0,236600,5,12,15,14,43569,34227.0,23.4,0,0,168.0,194,9,1,8,9.0,,0.0,,2,9,14,11,22,16,20,41,14,24,0.0,0,0,8,95.6,0.0,0,0,983707,363086,44500,184757,yes
89817247,15000, 60 months, 13.99%,348.95,C,C3,senior multi line representative,10+ years,MORTGAGE,50000.0,Source Verified,n,debt_consolidation,Debt consolidation,330xx,FL,8.02,0,Jan-2002,0,,,7,0,16407,59.2%,13,w,,0,16407,0,0,1,1,10.0,0,,1,3,5440,59.0,27700,0,0,3,4,2344,5093.0,76.3,0,0,40.0,176,8,8,0,23.0,,4.0,,0,4,4,4,4,4,7,9,4,7,0.0,0,0,2,100.0,75.0,0,0,27700,16407,21500,0,yes
90695712,3000, 36 months, 16.99%,106.95,D,D1,Asst manager,10+ years,MORTGAGE,70000.0,Source Verified,n,other,Other,220xx,VA,27.88,1,Oct-1994,0,23.0,,12,0,25308,97.3%,23,w,,0,335202,0,4,1,1,10.0,29309,57.0,0,0,4511,71.0,26000,0,16,0,1,27934,305.0,97.4,0,0,111.0,263,29,10,2,29.0,,,,0,3,7,3,4,7,7,14,7,12,0.0,0,0,1,95.7,100.0,0,0,374500,54617,11800,51500,yes
90379558,16000, 60 months, 13.99%,372.21,C,C3,Foreman,9 years,MORTGAGE,75000.0,Not Verified,n,credit_card,Credit card refinancing,751xx,TX,21.99,0,May-2004,0,,,13,0,22883,42.5%,28,w,,0,154995,1,3,2,4,5.0,50881,95.0,2,2,10145,51.0,53800,1,0,3,6,12916,17768.0,54.9,0,0,121.0,148,10,5,3,88.0,,4.0,,0,4,6,4,6,10,9,15,6,13,0.0,0,0,4,100.0,25.0,0,0,197466,73764,39400,55110,yes
90164623,8000, 36 months,  8.99%,254.37,B,B1,Senior Consultant,2 years,RENT,60000.0,Source Verified,n,debt_consolidation,Debt consolidation,852xx,AZ,13.48,0,Jun-2007,0,,,7,0,7721,35.6%,13,w,,0,42837,1,2,2,3,5.0,35116,94.0,0,1,4410,72.0,21700,1,1,4,4,7140,13979.0,35.6,0,0,72.0,111,23,5,0,23.0,,0.0,,0,4,4,4,5,6,5,7,4,7,0.0,0,0,2,100.0,0.0,0,0,59138,42837,21700,37438,yes
90312085,7000, 36 months,  7.99%,219.33,A,A4,Mechanical Designer,2 years,MORTGAGE,60320.0,Not Verified,n,debt_consolidation,Debt consolidation,347xx,FL,14.62,0,Mar-1999,2,,,12,0,9858,35.8%,42,w,,0,135330,3,3,1,3,3.0,30887,71.0,2,3,6953,58.0,27500,1,6,5,7,12303,14142.0,41.1,0,0,142.0,210,4,3,1,4.0,,3.0,,0,3,3,5,8,21,8,20,3,12,0.0,0,0,4,100.0,0.0,0,0,165949,40745,24000,43389,yes
90078228,6000, 36 months, 11.49%,197.83,B,B5,Business Analyst,7 years,RENT,53364.0,Source Verified,n,debt_consolidation,Debt consolidation,786xx,TX,15.97,0,Jul-2000,1,,,16,0,5322,6%,25,w,,0,143452,3,2,1,4,3.0,25124,86.0,3,3,1606,26.0,88400,1,3,2,7,9563,78319.0,6.2,0,0,123.0,194,1,1,2,1.0,,3.0,,0,5,6,10,14,6,12,16,6,16,0.0,0,0,4,100.0,0.0,0,0,244281,30446,83500,29351,yes
89837832,5400, 36 months, 10.49%,175.49,B,B3,Mgr ,10+ years,RENT,82500.0,Verified,n,moving,Moving and relocation,539xx,WI,13.22,0,Jan-2002,1,,,7,0,7,0%,34,w,,0,46105,2,2,2,4,1.0,46098,93.0,2,4,7,18.0,61300,1,0,1,8,6586,61293.0,0.0,0,0,146.0,176,2,1,0,2.0,,2.0,,0,1,1,5,21,10,5,24,1,7,0.0,0,0,4,100.0,0.0,0,0,117593,46105,61300,56293,yes
90312543,15000, 60 months, 15.59%,361.52,C,C5,Data Center Supervisor,10+ years,MORTGAGE,55000.0,Source Verified,n,home_improvement,Home improvement,275xx,NC,1.37,0,May-2003,0,,,14,0,2740,4.5%,33,w,,0,2740,0,0,2,2,11.0,0,,2,4,2574,5.0,60900,0,0,3,7,196,37326.0,6.5,0,0,32.0,160,9,9,5,9.0,,4.0,,0,1,3,8,17,3,14,25,3,14,0.0,0,0,4,100.0,0.0,0,0,60900,2740,39900,0,yes
90571484,20000, 60 months, 24.99%,586.91,E,E4,Paralegal,10+ years,MORTGAGE,75195.0,Verified,n,home_improvement,Home improvement,482xx,MI,25.58,0,Sep-1999,0,40.0,,19,0,21884,52%,36,f,40.0,0,73611,1,6,2,2,7.0,26631,57.0,2,4,8661,55.0,42100,0,0,0,6,4090,4445.0,74.6,0,0,124.0,204,1,1,3,1.0,,13.0,,1,3,9,3,6,11,12,22,9,19,0.0,0,0,4,91.7,66.7,0,0,125299,48515,17500,46399,yes
90611373,6500, 36 months, 11.49%,214.32,B,B5,International Sales Representative,8 years,MORTGAGE,58000.0,Source Verified,n,debt_consolidation,Debt consolidation,333xx,FL,10.53,0,Jul-2004,0,48.0,,9,0,12239,35.5%,46,w,,0,322132,1,1,1,2,7.0,76343,,3,5,8393,36.0,34500,4,0,6,9,40267,20266.0,31.3,0,0,146.0,130,3,3,4,3.0,,2.0,48.0,0,4,5,5,12,21,6,21,5,9,0.0,0,0,4,95.3,25.0,0,0,348569,88582,29500,65169,yes
90407033,8700, 36 months, 23.99%,341.29,E,E2,SR ACCOUNTING ASSISTANT,9 years,MORTGAGE,60694.4,Verified,n,debt_consolidation,Debt consolidation,280xx,NC,10.2,1,Aug-2001,0,21.0,,7,0,7265,74.9%,10,f,,0,43667,3,2,1,1,6.0,13797,74.0,2,2,5203,75.0,9700,0,2,3,3,6238,741.0,87.7,0,0,115.0,54,1,1,1,1.0,,1.0,35.0,0,2,4,2,2,5,4,4,4,7,0.0,0,0,3,80.0,50.0,0,0,87735,21062,6000,18535,yes
88855464,10000, 36 months, 11.49%,329.72,B,B5,Retwntions,< 1 year,MORTGAGE,49500.0,Source Verified,n,credit_card,Credit card refinancing,805xx,CO,27.3,0,Feb-1998,3,,57.0,16,1,10276,42.3%,39,w,,0,187938,5,2,2,2,6.0,37417,90.0,4,10,4234,73.0,24300,2,2,4,12,12529,9324.0,52.4,0,0,63.0,223,4,4,6,4.0,,4.0,,0,5,5,8,19,4,13,29,5,15,0.0,0,0,6,100.0,37.5,1,0,211498,47693,19600,41492,yes
90601237,1000, 36 months, 14.49%,34.42,C,C4,Guest Reception Agent,1 year,RENT,26688.0,Verified,n,moving,Moving and relocation,926xx,CA,22.92,0,Aug-2011,1,,,18,0,3532,17%,21,w,,0,45042,2,10,2,5,8.0,41382,87.0,1,3,2863,65.0,20800,0,0,2,9,2502,15468.0,18.6,0,0,61.0,36,1,1,0,1.0,,1.0,,0,4,4,5,5,12,7,8,4,18,0.0,0,0,4,100.0,0.0,0,0,69063,45042,19000,47662,yes
89935364,10000, 36 months, 13.49%,339.31,C,C2,Senior Engineer,< 1 year,MORTGAGE,77000.0,Source Verified,n,debt_consolidation,Debt consolidation,067xx,CT,13.3,0,Jan-2008,1,45.0,,9,0,10859,97.8%,34,w,,0,58882,1,5,0,1,20.0,48023,78.0,1,3,3386,81.0,11100,1,0,3,4,6542,241.0,97.8,0,0,104.0,104,3,3,0,3.0,45.0,0.0,45.0,0,4,4,4,11,20,4,14,4,9,0.0,0,0,1,87.9,100.0,0,0,72484,58882,11100,61384,yes
90611298,20000, 36 months, 17.99%,722.95,D,D2,supervisor,2 years,RENT,66600.0,Not Verified,n,debt_consolidation,Debt consolidation,145xx,NY,15.26,0,Oct-2001,1,57.0,55.0,7,1,10493,75.5%,18,w,57.0,0,28316,0,2,0,3,18.0,17823,70.0,1,1,6104,72.0,13900,3,0,2,4,4719,3407.0,75.5,0,0,111.0,179,12,12,1,12.0,,0.0,,1,3,3,4,12,4,4,13,3,6,0.0,0,0,1,93.3,50.0,1,0,39353,28316,13900,25453,yes
90211482,32700, 36 months, 17.99%,1182.02,D,D2,Information Technology Specialist,9 years,MORTGAGE,150000.0,Source Verified,n,debt_consolidation,Debt consolidation,290xx,SC,10.82,0,Aug-1992,0,51.0,,12,0,9692,25.2%,23,w,,0,65612,0,1,0,2,14.0,55920,,2,6,0,25.0,38400,0,0,0,8,5965,,,0,0,91.0,289,11,11,1,135.0,51.0,14.0,51.0,0,0,4,1,3,3,11,19,4,12,0.0,0,0,2,95.7,,0,0,102659,65612,0,64259,yes
90481163,8000, 36 months,  8.99%,254.37,B,B1,software developer/contractor at Vanguar,3 years,MORTGAGE,130000.0,Not Verified,n,debt_consolidation,Debt consolidation,190xx,PA,10.74,0,Nov-2001,2,66.0,,18,0,3578,6.6%,42,w,,0,262097,2,5,0,2,19.0,51804,73.0,3,6,2653,44.0,54500,0,2,4,9,14561,28622.0,11.1,0,0,136.0,178,0,0,6,10.0,,0.0,,0,3,3,6,9,11,12,25,3,18,0.0,0,0,4,97.6,0.0,0,0,334332,55382,32200,71482,yes
90439579,6000, 36 months, 10.49%,194.99,B,B3,Regional Administrative Asst II,10+ years,RENT,54858.0,Not Verified,n,credit_card,Credit card refinancing,302xx,GA,21.26,0,Nov-2002,1,49.0,75.0,21,2,8996,35.1%,25,f,49.0,0,64744,1,8,1,3,1.0,55748,78.0,1,4,3065,67.0,25600,0,0,2,7,3408,11813.0,42.4,0,0,166.0,108,9,1,0,23.0,,3.0,,2,6,7,6,6,11,13,14,7,21,0.0,0,0,2,92.0,0.0,1,1,96820,64744,20500,71220,yes
89859309,28000, 60 months, 13.99%,651.37,C,C3,,n/a,RENT,89000.0,Not Verified,n,debt_consolidation,Debt consolidation,945xx,CA,15.32,2,Jun-1998,0,18.0,,18,0,14871,23.5%,44,w,47.0,0,34374,1,2,0,0,25.0,19503,58.0,1,1,3501,36.0,63300,0,0,0,1,2292,47029.0,24.0,0,0,100.0,219,6,6,2,6.0,18.0,13.0,18.0,2,8,8,12,21,5,16,36,8,18,0.0,0,0,1,86.4,0.0,0,0,96959,34374,61900,33659,no
90111457,6000, 36 months, 23.99%,235.37,E,E2,Manager,3 years,MORTGAGE,120000.0,Verified,n,other,Other,891xx,NV,16.46,0,Oct-2008,2,,,12,0,12033,36.7%,14,w,,0,357265,4,3,2,2,7.0,54860,72.0,4,7,10292,45.0,32800,5,0,16,10,29772,20267.0,37.3,0,0,95.0,86,0,0,1,0.0,,1.0,,0,4,4,6,6,5,7,8,4,12,0.0,0,0,7,100.0,16.7,0,0,385677,66893,32300,60580,no
90181621,28000, 36 months, 10.99%,916.56,B,B4,Controller,4 years,RENT,110000.0,Verified,n,debt_consolidation,Debt consolidation,672xx,KS,21.41,0,Oct-2003,0,47.0,,19,0,42041,51%,30,f,,0,127230,2,3,0,1,14.0,85189,,4,8,9761,51.0,82500,0,0,1,9,7484,39459.0,51.6,0,0,143.0,155,2,2,2,2.0,47.0,12.0,47.0,0,11,11,13,15,9,16,19,11,19,0.0,0,0,4,96.7,30.8,0,0,204330,127230,81500,121830,yes
90064727,2500, 36 months, 12.79%,83.99,C,C1,Teacher,10+ years,MORTGAGE,41000.0,Source Verified,n,debt_consolidation,Debt consolidation,346xx,FL,2.25,4,Feb-1996,3,4.0,,10,0,1749,7.6%,22,w,15.0,0,195380,6,0,2,3,5.0,0,,4,5,971,8.0,23000,0,0,3,8,21709,17551.0,9.1,0,0,87.0,247,5,5,1,5.0,4.0,5.0,4.0,1,3,3,5,10,5,9,16,3,10,0.0,0,1,6,81.8,0.0,0,0,228200,1749,19300,0,no
90172164,12500, 36 months,  7.59%,389.35,A,A3,Police Officer,10+ years,MORTGAGE,79000.0,Not Verified,n,home_improvement,Home improvement,805xx,CO,19.63,0,Aug-1995,0,,,11,0,3950,44.4%,29,w,,0,287766,1,6,1,4,6.0,65024,70.0,0,0,2045,65.0,8900,2,7,11,4,26161,1360.0,72.2,0,0,253.0,224,41,6,3,47.0,,7.0,,0,2,3,2,2,22,3,4,3,11,0.0,0,0,1,100.0,0.0,0,0,330596,68974,4900,77873,yes
90232053,16000, 60 months, 17.99%,406.21,D,D2,Senior Buyer,4 years,MORTGAGE,56500.0,Source Verified,n,debt_consolidation,Debt consolidation,761xx,TX,14.34,0,Apr-2005,1,76.0,81.0,13,1,5442,34.7%,31,w,76.0,0,170305,0,1,0,1,23.0,24338,75.0,3,7,2751,62.0,15700,1,6,3,9,13100,3458.0,61.1,0,0,137.0,129,8,8,2,10.0,,4.0,,3,2,2,4,11,8,11,19,2,13,0.0,0,0,3,90.3,50.0,1,0,191634,29780,8900,32579,yes
90321354,6000, 36 months, 14.49%,206.5,C,C4,Paraeducator,< 1 year,MORTGAGE,20000.0,Source Verified,n,debt_consolidation,Debt consolidation,928xx,CA,12.73,0,Oct-2011,3,,,5,0,1134,27%,6,w,,0,50698,1,2,1,1,1.0,49564,101.0,1,1,680,58.0,4200,0,0,5,2,10140,20.0,97.1,0,0,59.0,55,7,1,0,55.0,,1.0,,0,1,2,1,2,2,3,4,2,5,0.0,0,0,2,100.0,100.0,0,0,48883,50698,700,44683,no
90439147,2700, 36 months, 14.49%,92.93,C,C4,Repair Technician,3 years,RENT,38000.0,Source Verified,n,credit_card,Credit card refinancing,926xx,CA,13.42,0,Oct-2003,1,36.0,,5,0,4516,61%,15,w,,0,16025,0,1,0,1,23.0,11509,75.0,0,1,3923,70.0,7400,2,0,1,2,3205,984.0,82.1,0,0,104.0,137,19,19,1,19.0,,1.0,64.0,0,2,2,3,6,5,4,9,2,5,0.0,0,0,0,73.3,33.3,0,0,22822,16025,5500,15422,yes
89033953,3975, 36 months, 17.99%,143.69,D,D2,Techinical Writer,2 years,RENT,80000.0,Verified,n,debt_consolidation,,913xx,CA,7.68,6,Jul-2003,0,11.0,70.0,19,1,0,0%,37,f,16.0,0,138523,0,11,0,3,13.0,138523,101.0,1,2,0,97.0,5800,0,1,0,5,8148,4100.0,0.0,0,0,120.0,158,12,12,0,74.0,,23.0,16.0,3,0,0,3,5,23,8,14,0,19,0.0,0,1,1,64.9,0.0,0,1,142492,138523,4100,136692,yes
90146285,20000, 60 months, 25.69%,595.15,F,F1,System Analyst,4 years,RENT,75000.0,Source Verified,n,debt_consolidation,Debt consolidation,021xx,MA,4.78,0,Nov-2012,0,,,5,0,15805,46.1%,5,f,,0,15805,0,0,0,0,,0,,0,1,8025,46.0,34300,0,0,0,1,3161,18495.0,46.1,0,0,,46,13,13,0,13.0,,16.0,,0,4,4,5,5,0,5,5,4,5,0.0,0,0,0,100.0,20.0,0,0,34300,15805,34300,0,yes
90415985,13000, 60 months, 12.79%,294.4,C,C1,Judicial Administrative Asst.,10+ years,MORTGAGE,70000.0,Not Verified,n,major_purchase,Major purchase,855xx,AZ,24.76,0,May-2005,0,,,7,0,8257,35.9%,15,w,,0,87648,0,4,0,2,16.0,19200,50.0,0,0,8257,44.0,23000,0,7,0,2,12521,14743.0,35.9,0,0,136.0,55,30,16,2,30.0,,,,0,1,1,2,2,10,2,3,1,7,0.0,0,0,0,100.0,0.0,0,0,188065,27457,23000,69215,yes
90068070,5000, 36 months, 14.49%,172.09,C,C4,Case manager,7 years,MORTGAGE,58000.0,Source Verified,n,car,Car financing,240xx,VA,10.24,2,Nov-1999,1,7.0,70.0,8,1,460,5.8%,12,w,12.0,0,37974,2,1,0,0,35.0,12884,61.0,2,5,315,46.0,7900,0,0,1,5,4747,4646.0,7.1,0,0,110.0,48,2,2,1,2.0,,2.0,,1,2,3,3,3,5,6,6,3,8,0.0,0,1,2,83.3,0.0,0,0,138898,13344,5000,20998,yes
90269062,32000, 36 months, 13.49%,1085.78,C,C2,Project Manger ,4 years,MORTGAGE,91800.0,Verified,n,debt_consolidation,Debt consolidation,302xx,GA,27.26,0,Nov-1994,0,60.0,,11,0,13970,38.1%,41,w,,0,65831,2,2,1,2,5.0,51861,91.0,1,3,9130,54.0,36700,3,0,4,5,6583,17530.0,44.3,0,0,160.0,262,4,4,3,4.0,,2.0,60.0,0,2,2,5,12,11,9,27,2,11,0.0,0,0,2,97.6,20.0,0,0,92708,65831,31500,56008,yes
90396513,5000, 36 months,  8.99%,158.98,B,B1,Assistant Director of Finance,10+ years,RENT,185000.0,Not Verified,n,credit_card,Credit card refinancing,906xx,CA,2.76,0,Nov-1988,1,,,11,0,5454,6.2%,40,w,,0,12411,1,1,0,1,24.0,6956,54.0,1,2,4940,12.0,100700,0,0,2,3,1379,95246.0,6.2,0,0,311.0,334,1,1,0,1.0,,1.0,,0,2,2,9,29,4,9,35,2,11,0.0,0,0,1,100.0,14.3,0,0,117882,12411,100700,13000,yes
90210909,7000, 36 months,  5.32%,210.81,A,A1,Chief Auditor,4 years,MORTGAGE,120000.0,Not Verified,n,credit_card,Credit card refinancing,917xx,CA,10.23,1,Jul-1985,1,13.0,,16,0,74802,10.6%,55,f,71.0,0,354409,1,2,1,2,1.0,24669,85.0,1,3,3138,46.0,282500,2,7,2,5,23627,18170.0,15.9,0,0,132.0,374,10,1,12,13.0,72.0,1.0,13.0,7,3,4,6,20,6,13,36,4,16,0.0,0,0,2,81.8,16.7,0,0,584784,99471,21600,28984,yes
90068273,25000, 36 months,  8.99%,794.88,B,B1,IT Project Manager,1 year,RENT,150000.0,Source Verified,n,credit_card,Credit card refinancing,804xx,CO,7.31,0,Oct-2004,0,,,4,0,29857,97.6%,9,w,,0,173805,0,1,0,0,52.0,6318,31.0,0,0,12141,71.0,30600,0,2,0,0,43451,959.0,92.7,0,0,143.0,94,30,30,1,94.0,,,,0,1,2,1,3,3,2,5,2,4,0.0,0,0,0,100.0,100.0,0,0,205987,36175,13100,20249,no
90231952,8000, 36 months, 10.99%,261.88,B,B4,FACILITATOR,10+ years,MORTGAGE,110000.0,Source Verified,n,debt_consolidation,Debt consolidation,452xx,OH,15.79,0,Aug-1990,0,40.0,,9,0,12082,38.1%,39,w,40.0,0,128425,2,2,1,1,2.0,42367,70.0,2,3,6432,59.0,31700,0,5,0,4,14269,15218.0,44.3,0,0,194.0,313,4,2,4,4.0,40.0,,40.0,6,3,3,3,12,9,6,26,3,9,0.0,0,0,3,84.6,0.0,0,0,170401,54449,27300,60367,yes
89928340,24000, 60 months, 13.99%,558.32,C,C3,Field Service Technician,< 1 year,RENT,69500.0,Source Verified,n,debt_consolidation,Debt consolidation,765xx,TX,23.28,1,Nov-2004,1,23.0,,10,0,6564,34.7%,48,w,,0,73863,0,4,7,11,8.0,67299,72.0,0,0,210,59.0,18900,2,21,5,11,7386,5652.0,4.2,0,0,124.0,142,76,8,2,82.0,,1.0,,0,2,4,4,6,37,6,9,4,10,0.0,0,0,7,97.9,0.0,0,0,99143,73863,5900,80243,yes
90291192,20000, 36 months, 11.49%,659.43,B,B5,Substance Abuse Counselor,5 years,RENT,115000.0,Source Verified,n,debt_consolidation,Debt consolidation,100xx,NY,7.12,0,Jan-2004,1,,82.0,9,1,11945,30.8%,31,w,,0,37778,2,3,0,1,14.0,25833,93.0,2,4,9773,57.0,38800,0,2,1,5,4198,24062.0,32.2,0,0,126.0,152,5,5,0,5.0,,5.0,,0,2,3,3,10,12,6,19,4,9,0.0,0,0,2,100.0,0.0,1,0,66700,37778,35500,27900,yes
