loan_amnt,term,emp_title,emp_length,home_ownership,annual_inc,purpose,is_good_customer
35000,60,Coiler,3,2,85000.0,2,1
16000,36,Security specialist ,8,0,105000.0,2,1
24000,60,Account Manager,5,2,90000.0,2,1
2650,36,Assembler,3,0,30000.0,2,1
5600,36,Armed guard,5,2,52000.0,3,0
10000,60,lpn/charge nurse,4,1,52000.0,11,1
20000,60,Driver,10,2,92000.0,2,1
10000,36,,0,0,49000.0,2,0
30000,36,SALES AGENT,2,1,90000.0,3,0
9000,36,AP/Payroll,4,0,38000.0,2,0
20775,60,Customer service associate ,8,2,96000.0,2,1
2425,36,Teacher,5,2,25000.0,1,1
12000,36,cook,10,0,42235.0,1,0
8400,36,Water Distribution Operator ,1,1,30000.0,1,1
7200,36,Bookkeeper ,3,0,25000.0,2,1
17050,36,Teacher,10,0,48000.0,1,1
35000,36,sales director,1,0,280000.0,1,0
16000,36,Nanny,10,2,96000.0,2,0
16800,60,director,3,2,67000.0,2,1
20000,36,Principal designer,4,1,160000.0,2,1
1000,36,Director,4,0,130000.0,5,1
18000,60,Software Engineer,1,2,148500.0,11,1
27200,36,Sr. Administrative Analyst,10,2,85000.0,1,1
24000,60,Regional Director of care services,1,2,115000.0,2,1
20000,60,Teacher,10,2,82000.0,2,1
8825,36,Customer Success Specialist,2,0,26000.0,2,1
9800,36,,0,2,50000.0,1,0
17500,36,Police officer,8,0,95000.0,2,1
35000,60,Senior Storage Consultant,7,2,175000.0,2,1
6150,36,RN,7,2,100000.0,11,1
14850,60,Teacher,3,0,50000.0,11,0
35000,60,Director,10,2,168000.0,2,0
5000,36,parts manager,6,0,32000.0,11,1
26300,36,Driver,10,2,80000.0,2,1
20400,36,Learning Behavior Specialist,10,0,103000.0,2,1
8275,36,MEDICAL BILLER,3,0,32827.0,2,1
23500,60,Data Scientist,2,2,120000.0,1,1
2000,36,Production Specialist,10,0,34329.0,11,0
14000,60,Lead Production Admin.,3,2,99305.0,2,0
6000,36,Supervisor,5,0,90000.0,0,1
5000,36,Wire technition,4,2,36000.0,2,1
7675,36,,0,0,37344.0,2,1
24000,60,Sr Supply chain manager ,3,2,139000.0,5,1
4400,36,Massage therapist/independent contractor,5,0,30000.0,2,1
3500,36,field service tech,2,0,70000.0,1,1
28000,60,Chemical Process Technician,10,2,140000.0,3,0
20150,36,Teacher,10,2,90000.0,1,1
16750,36,Assistant Store Manager,10,1,80000.0,2,1
10000,36,Instrument tech,10,0,42000.0,2,1
3000,36,xray/CT technologist ,10,0,54000.0,0,1
14000,36,Surety underwriter,0,0,88000.0,2,1
10000,60,Supervisor ,9,0,31000.0,2,1
18000,36,Medical Assistant,10,2,45500.0,2,1
16000,60,Surgical Technician,3,0,120000.0,9,0
10000,36,Active Duty,6,2,51745.0,11,1
7800,36,Firefighter/Paramedic,10,2,125000.0,11,1
4000,36,Servicing Specialist 2,2,0,31116.8,2,0
4800,36,Mechanical Designer,0,0,80000.0,11,1
28275,36,Nursing Supervisor,3,2,130000.0,2,1
5600,36,Detail,8,0,35000.0,11,0
3000,36,Letter Carrier,10,2,115000.0,11,1
20000,36,Director of Care Services,10,0,54000.0,2,0
13450,60,Registered Nurse,0,2,40000.0,2,0
15000,36,Owner,2,1,40000.0,2,0
16000,60,Payroll & Benefits Specialist,8,2,68000.0,1,0
9200,36,general labor,10,1,42000.0,1,1
18000,36,Field Technician,2,1,65000.0,1,1
4000,36,Lead Tech,4,2,60000.0,2,1
2000,36,Police ,9,2,58124.0,2,0
7200,36,CNC Operator,0,0,41800.0,2,0
35000,36,Portfolio Manager,10,2,320000.0,1,0
13500,60,court clerk,8,2,36000.0,1,1
5000,36,Supervisor,10,2,68000.0,2,1
40000,36,Manager,3,2,130000.0,5,0
35000,36,"owner, physician",10,2,160000.0,2,0
21000,60,Driver/Operator,2,2,64000.0,3,1
3000,36,,0,1,42000.0,2,1
3000,36,Equipment operator ,10,2,100000.0,2,0
10700,36,Loan doc specialist,3,2,32160.0,2,1
32000,36,Director Product Marketing,6,2,325000.0,3,1
15775,36,Consultant,0,0,125000.0,1,1
7000,36,Stylist,0,0,24000.0,1,0
20000,60,foreman,9,0,60000.0,2,0
8000,36,Firefighter ,10,2,45000.0,2,1
10800,36,Junior High Librarian at Hillcrest Junio,10,0,63000.0,2,1
24000,60,Mgmt Analyst,10,2,115000.0,2,1
6000,36,Insurance Agent,0,2,56000.0,1,1
2500,36,Director of Communications,10,0,72000.0,6,1
16000,36,IT Manager,3,2,55000.0,3,0
12000,36,,0,2,68000.0,5,1
35000,36,Loan consultant ,6,1,265000.0,3,1
5000,36,Service Manager,3,2,66000.0,3,1
8000,36,Office Manager,6,0,33000.0,2,0
5525,36,Teacher,7,0,52000.0,2,1
24000,36,construction project manager,7,2,60000.0,11,1
15000,36,Software Developer,2,0,65596.0,2,1
6375,36,Sr Mechanical Designer,1,2,140000.0,1,1
35000,36,heo,10,2,140000.0,2,1
16725,60,Residency Coordinator,5,2,45000.0,2,1
1400,36,Teacher/Coach,3,0,60000.0,11,0
25525,36,Executive Director,1,2,150000.0,1,0
24000,36,Floor manager,3,0,95000.0,2,1
20000,36,Law Enforcement Officer,10,0,48000.0,2,1
8000,36,Poweder Coat Painter ,3,1,35000.0,11,1
35000,36,skills trades leader V mechanic,10,2,100000.0,2,1
20800,60,Mechanic,1,1,60000.0,3,0
22000,60,Service Specialest,10,0,85000.0,2,0
3200,36,Patient care tech ,1,2,20000.0,11,1
11675,36,Avation Technician,6,2,45000.0,2,1
24900,36,HR Manager,3,0,65000.0,1,0
7000,36,Building Engineer,10,0,54000.0,2,1
25000,36,Healthcare Advisory,5,2,102000.0,2,1
15000,60,teacher,10,2,45000.0,2,0
20000,36,Associate Vice President,10,2,250000.0,1,1
16000,36,Service manger,10,2,75000.0,2,1
2000,36,mechanic,6,1,40000.0,6,0
2500,36,Business Development Manager ,7,1,75000.0,8,0
4800,36,Mental health assistant ,2,0,55000.0,2,0
20000,60,Sr. Learning Consultant,10,2,65000.0,2,0
6000,36,medical sales,10,2,150000.0,2,0
31200,36,Supervisor ,10,0,65000.0,2,1
8000,36,RN,0,0,40000.0,2,0
10975,36,Receptionist,10,1,24100.0,1,1
7500,36,Secretary,10,2,54000.0,1,1
3000,36,home help aid,10,0,21000.0,2,0
1800,36,EVS-Maintenance,10,1,28000.0,2,1
10000,36,Production Tech,10,2,55000.0,2,1
6500,36,flight attendent,10,0,70000.0,1,1
10500,60,truck driver ,1,2,84000.0,5,1
20000,36,Nurse,2,0,70000.0,1,0
24000,60,Sales Manager,10,0,170000.0,2,1
6000,36,Investigator,10,0,69959.0,2,1
11500,36,Office Manager,9,0,40000.0,2,1
20800,36,sales,5,2,123100.0,1,0
17150,36,Vice President,10,0,50000.0,2,1
25000,36,SR VP Sales,9,2,250000.0,2,0
15525,60,Translator,4,1,75585.0,6,1
5000,36,,0,2,26000.0,2,0
7200,36,Instructional Assistant,8,2,25000.0,2,1
40000,60,Police Officer,10,2,100000.0,2,1
24000,36,Registered nurse,4,2,100000.0,11,1
5000,36,Process Compliance Coordinator,1,0,40404.0,7,1
10000,36,Manager,6,2,51000.0,1,1
7000,36,Server,0,0,23000.0,7,0
21000,36,Director,8,2,190000.0,2,1
15000,60,Implementation Specialist,8,2,37000.0,2,1
8000,36,Millwork Specialist,4,0,33928.0,1,1
21000,36,Analyst,1,0,98800.0,1,1
10000,36,underwriter,9,2,77161.0,2,1
37500,36,Assistant Manager,10,2,75000.0,3,1
6000,36,,0,1,45000.0,2,1
12800,36,Sales Manager,4,0,86000.0,2,1
25025,36,Category Specialist,5,2,68000.0,1,1
15300,36,Utility Worker,2,0,62500.0,2,1
11750,60,Medical coder,9,2,35000.0,2,0
1500,36,CNC machinist ,3,2,47000.0,3,1
6000,36,INSURANCE AGENT PERSONAL LINES,10,2,45000.0,2,1
16800,60,Purchaser,6,2,44000.0,1,1
5600,36,Driver ,3,0,24000.0,2,1
24000,36,Grounds,10,2,81000.0,2,0
2000,36,,0,2,54000.0,2,1
16950,36,,0,2,65000.0,2,1
5000,36,HR Manager,10,2,76000.0,2,1
30800,36,CT Tech,10,1,65000.0,1,1
2800,36,Security,1,0,30000.0,11,1
26500,60,Cashier,7,2,53000.0,1,1
10000,36,Sr. Quality Engineer,3,0,115000.0,2,1
35000,60,PROJECT MANAGER,4,2,145000.0,2,1
24000,60,sales mgr.,1,2,125000.0,2,0
2150,36,Manager,10,1,7900.0,2,1
35000,36,regional manager,1,2,110000.0,3,1
10000,60,LPN,6,0,36000.0,2,0
15000,36,Vendor Warehouse,10,2,40000.0,2,0
12000,60,Casting Line Operator,2,0,52497.0,2,1
17825,36,technician,10,2,50000.0,1,1
14400,60,Manager,10,0,41000.0,2,1
13000,60,Production Worker,9,2,30000.0,2,0
8000,36,Teacher,10,2,120000.0,1,0
13100,60,Dental Assistant,5,2,36400.0,2,0
10000,36,Jail Administrator ,3,2,32000.0,2,1
9775,36,Sargent,5,0,43280.0,2,1
25000,36,Program Coordinator,10,2,74000.0,1,1
7800,36,Sales Associates,6,2,49000.0,2,1
16000,60,customer service ,3,2,55000.0,2,0
2400,36,Asst. Mgr.,9,0,45000.0,7,1
3600,36,Accounting Office,1,0,23000.0,6,1
10000,36,Shipfitter Training Leader,10,0,73000.0,10,1
6025,36,Support Administrator for Networking,10,0,93000.0,11,1
12000,36,Sales,5,1,80000.0,5,0
20175,36,Housing Asset Manager,10,2,67000.0,2,1
35000,36,RN,10,2,150000.0,2,1
16000,60,Peace Officer,10,2,110000.0,1,0
15000,36, Claim Representative,10,1,71645.0,3,0
29750,60,Cook,0,1,62000.0,2,0
15525,60,ROUTE SUPERVISOR,10,2,53000.0,2,0
25000,36,Police Sergeant,10,2,127524.28,2,0
35000,36,Salesman,2,2,75000.0,1,1
8000,36,Dietary ,0,0,36000.0,1,1
24700,36,correctional officer ,9,2,62000.0,3,1
2750,36,Line operator,0,0,48208.0,1,1
14000,60,Deputy Sheriff,10,2,66000.0,1,1
10000,36,Application Analyst,10,0,70000.0,1,1
11200,36,bartender,0,0,30000.0,1,0
11500,60,,0,0,31986.96,2,1
8000,36,Water Dept.,7,2,72000.0,2,0
20000,36,Electronics Engineer,9,2,85000.0,11,1
15000,36,Director of Critical Care,0,2,125000.0,1,1
2775,36,warehouse manager,4,2,42800.0,1,1
18000,36,Technical Support Manager,4,2,91800.0,2,1
10000,36,general manager,9,2,82000.0,2,1
6000,36,911 telecommunications ,6,0,27700.0,1,1
13000,60,Director of IT services ,5,1,101500.0,2,1
6000,36,INstrument Mechanic,10,2,77000.0,1,1
9625,36,MED ASSIST,6,0,41500.0,4,1
5000,36,Administrator,1,1,25000.0,2,1
2500,36,Logistics Supervisor,8,1,58000.0,2,1
13850,36,food prep,10,1,33000.0,11,0
23600,36,sales rep,4,2,59000.0,1,1
6000,36,Dental Assistant,2,0,42200.0,2,1
11700,60,Vice President,7,2,230000.0,3,1
5000,36,Paralegal,5,2,62000.0,3,1
14725,60,,0,2,90000.0,0,0
16800,36,Case Manager,10,2,83030.0,11,0
8400,36,Building care,10,2,32000.0,2,1
6000,36,Front Office ,2,0,18500.0,1,1
12000,36,VP Regional Program Manager,10,1,230000.0,2,1
8000,36,Category Merchandiser,10,2,35000.0,2,1
2400,36,Video Production Supervisor,10,2,158000.0,11,1
4925,36,,0,1,68000.0,1,1
15000,36,Manager,10,2,90000.0,2,1
15000,36,Associate Director,2,0,105000.0,1,1
8500,36,Customer service,9,0,60000.0,2,0
10000,36,Driver,5,1,31000.0,1,1
35000,60,Head of Investor Relations,2,2,417000.0,3,1
12000,36,,0,2,59000.0,2,0
24825,60,Shipping/ Receiving,10,0,54000.0,1,0
25000,60,Sales,0,0,75000.0,2,0
12000,36,General manager,0,0,38000.0,3,1
16000,60,Scientist,9,0,105000.0,9,1
3200,36,Medical Technologist,4,0,83000.0,2,1
9000,36,,0,1,35000.0,11,1
20000,60,Lead Engineer,0,2,110000.0,2,1
40000,36,Assistant Vice President,10,2,220000.0,2,1
35000,60,Teacher,10,2,132000.0,1,0
3950,36,Dental assistant,2,0,28000.0,2,0
4200,36,busines manager,1,0,95000.0,0,1
25000,60,Engineer ,10,0,195000.0,2,0
11000,36,fire captain,10,2,125000.0,2,0
5600,36,SFC ,10,2,82000.0,7,0
4200,36,Assembly department ,0,2,30000.0,2,0
11525,36,PROJECT MANAGER,6,0,46000.0,2,1
5000,36,CAD detailer,5,0,42000.0,2,1
17000,36,Peace offiver,9,2,140000.0,1,1
16000,60,Engineer,5,2,130000.0,3,1
6000,36,Sales,3,1,53334.0,6,0
8425,36,Administrator ,9,0,45000.0,1,1
15000,36,Institutional Services,10,0,55000.0,1,1
10000,36,Outdoor Builder ,1,0,35000.0,2,1
5000,36,,0,1,50400.0,11,0
7000,36,Security,4,0,33000.0,2,1
10000,36,,0,1,45000.0,1,1
6000,36,Accountant,10,2,95000.0,1,1
28000,36,General Manager,10,0,75000.0,2,0
7000,36,,0,1,20600.0,2,0
4000,36,Teacher,2,2,75000.0,3,0
1800,36,Teacher,0,1,27040.0,6,1
8250,36,electronic technician,10,2,27560.0,2,0
5000,36,Retail,8,0,35000.0,2,1
5000,36,parts driver,4,0,35000.0,2,1
6000,36,Janitorial ,2,1,30000.0,6,0
12600,36,Engineer,10,1,62000.0,2,0
15000,36,Comptoller,2,2,78000.0,2,1
32000,36,Accountant,10,1,225000.0,1,1
22425,60,program advisor ,1,0,44850.0,1,0
35000,60,Laborer,10,2,83000.0,2,1
32000,60,Supervisory Analyst,10,2,205000.0,2,1
5000,36,Therapist,10,1,75000.0,10,0
22500,36,Desktop Analyst,5,0,50000.0,2,1
6000,36,culinary assistance,7,0,30000.0,1,0
19200,60,Administrative Assistant,3,1,44000.0,2,0
35000,36,Sr. Systems Engineer,4,0,145500.0,2,1
5000,36,Accounting Clerk,0,2,26800.0,2,1
9500,36,CNA,0,2,35000.0,2,0
20000,36,Senior HR Administrator,9,2,65000.0,2,1
20000,60,sales,3,1,75000.0,2,0
18000,36,Financial advisor,10,0,90000.0,2,1
25000,60,Heavy Equipment Operator ,10,0,90000.0,2,1
20000,36,Vice President ,6,2,150000.0,1,1
12000,60,Supply Chain Manager,9,1,170000.0,2,1
14000,36,owner / operator,5,0,54000.0,2,1
7475,36,customer service,0,2,25000.0,2,1
7500,36,Utility Technician,10,2,93000.0,11,0
7900,36,PCA,1,0,22000.0,2,0
10000,36,Mechanic ,1,0,50000.0,2,1
2000,36,Hardware Test Technician,9,0,65000.0,2,1
22000,60,welder/sander,5,2,50000.0,1,1
9000,36,Accounts Receivable representative,2,0,45000.0,2,0
24000,36,customs officer,10,2,123000.0,2,0
32650,36,Mortgage Loan Post Closing Manager,10,2,71000.0,2,0
20000,60,Broker / Property manager,3,2,110000.0,2,1
35000,36,Correctional officer,7,2,81344.0,2,1
4000,36,,0,2,31000.0,2,1
20000,36,Rig Mechanic,5,2,135000.0,2,0
5000,36,Sorter,8,1,69500.0,2,0
3900,36,Developmentalist,10,1,35000.0,2,0
18000,36,Manager,10,2,110000.0,2,1
40000,36,Electrical Engineer,10,2,130000.0,2,0
10000,60,MDS MANAGER,10,2,74000.0,3,0
9500,36,Bartender,4,2,19000.0,2,1
12500,60,HR Manager,5,2,70209.0,2,1
24825,60,Division Controller,0,1,110000.0,1,1
15000,36,supervisor,6,2,84000.0,3,1
35000,36,Economist,7,2,178500.0,2,1
25000,36,"Exec Dir, Busn Ops",10,2,121500.0,2,1
15600,36,Data Analyst,9,2,100000.0,2,1
6000,36,Director of Human resources,9,0,109000.0,2,1
6000,36,Physical Therapist,2,0,90000.0,1,1
4350,36,Explosive Materials Handler,10,2,61000.0,2,1
15000,60,Supervisory ER/LR Specialist,4,1,97137.0,2,1
35000,60,Mission Support Specialist ,10,2,72000.0,2,1
6400,36,Meat Cutter,4,0,32000.0,11,1
6000,36,Owner/Operator,0,2,65000.0,2,1
7500,36,Premier Solutions,0,0,34000.0,2,0
8000,36,Auto industry ,10,0,97000.0,1,0
12000,36,Teacher,10,2,90000.0,1,1
4000,36,Personal Banker,0,0,33000.0,2,1
2925,36,Cashier,0,0,20000.0,2,1
6300,36,Office Specalist,10,2,34000.0,2,0
16000,60,Lead Teacher,10,0,55000.0,2,0
35000,60,RN,10,2,104000.0,2,1
5000,36,Prep Cook,2,0,33000.0,1,0
6100,60,,0,2,35000.0,2,1
25000,36,Director of Marketing,1,2,185000.0,2,1
21000,60,Senior Vice President,3,2,165000.0,3,0
33600,60,Sargent ,10,1,108000.0,2,1
5000,36,Swing Manager,3,0,16000.0,5,0
40000,60,Project Manager,5,2,140000.0,3,1
9600,36,Group Supervisor ,3,0,50000.0,2,1
24000,36,Lead Accountant,3,2,94000.0,2,1
4675,36,Administrative Asst.,3,2,55000.0,1,0
15000,36,Finance Manager,10,0,72500.0,3,1
12000,36,credit analysis,5,2,148000.0,2,1
2800,36,Inventory control analyst,8,1,69000.0,7,1
4800,36,Escrow Officer,10,2,83000.0,1,1
9000,36,therapist,1,1,60000.0,5,1
10000,36,,0,2,52000.0,2,1
17000,36,General manager ,10,0,200000.0,2,0
9425,36,delivery cooridinator,10,2,90000.0,2,1
14000,60,Chief Financial officer,3,2,80000.0,3,1
7125,36,,0,2,55000.0,2,0
4250,36,Executive Administrative Assistant,7,2,51000.0,3,1
2800,36,Metrologist,5,0,54000.0,2,1
2200,36,Analyst,10,0,60000.0,1,1
10000,36,Finance,10,2,94000.0,2,0
9525,36,RN,10,2,92000.0,2,0
8000,36,Pyxis system coordinator ,4,0,50000.0,6,1
18000,60,IT Engineer,9,2,91000.0,3,1
1500,36,commercial operator,5,0,37000.0,2,0
34500,36,Financial Services Rep II,10,0,75000.0,2,0
40000,60,AIR TRAFFIC CONTROLER,10,2,125000.0,2,1
5200,36,Banquets server,10,2,50000.0,10,1
18900,60,Sales Associate,4,1,45000.0,2,0
24800,36,Department Head,10,0,135000.0,2,1
18000,60,Owner,10,0,50000.0,5,1
6000,36,server,1,0,45000.0,1,1
5000,36,Productio Operations ,7,0,65000.0,11,1
35000,36,CIO,2,2,250000.0,2,1
7000,36,Network Engineer,3,2,62000.0,2,1
12300,60,,0,1,82000.0,2,1
12000,36,SMSRII,5,0,45000.0,2,1
10000,36,Flight Attendant,10,0,84000.0,2,1
19200,60,Managing Member,8,0,60000.0,2,1
10000,36,Senior psych tech,10,1,65000.0,3,0
16525,36,Senior Call Representative,1,1,57000.0,2,0
30000,36,Project Manager,8,2,115000.0,5,1
2000,36,Account Executive,10,2,52000.0,10,1
15500,36,WPS II,1,0,43000.0,2,0
16400,36,Sales,4,0,160000.0,2,1
26700,60,Firefighter,9,2,60000.0,11,0
9000,36,Office Fullfilment Services Manager,0,0,105000.0,2,1
3000,36,RN,10,2,95000.0,6,1
26350,60,Import Specialist,10,2,84000.0,2,1
6000,36,server,2,2,80000.0,11,1
12750,36,Supply Chain Consultant,10,2,120000.0,2,1
23000,36,Specialist,0,0,50000.0,2,0
12000,36,Web Developer,5,0,110000.0,2,1
5000,36,Dept manager ,10,2,37000.0,2,1
2800,36,Storekeeper II,1,2,30000.0,2,1
2500,36,Safety Coordinator,10,2,83691.0,2,1
19200,60,Solutions Engineer,1,2,140000.0,2,1
15000,36,Toolmaker,10,0,58000.0,1,0
11200,60,Manager,5,0,76000.0,11,0
24000,60,Customer Engineer,0,2,105000.0,1,1
6000,36,Receiver,3,0,22000.0,2,1
15000,36,RN,6,1,74000.0,11,1
3975,36,,0,1,15612.0,3,0
10000,36,Assistant Branch Manager ,1,0,47000.0,2,1
28025,36,,0,2,70000.0,2,1
35000,60,Driller,10,2,125000.0,2,0
12000,60,IT Support,1,2,48000.0,2,0
10000,36,Assistant Manager,1,0,51000.0,1,1
5000,36,president,10,2,250000.0,11,1
24450,36,INDUSTRIAL PAINTER,10,0,77000.0,11,0
25000,36,armed officer,3,0,82000.0,2,1
25000,36,Contract administration ,10,2,105000.0,2,1
9150,36,dental receptionist ,10,0,51000.0,2,0
10000,36,Real Estate Agent,3,2,96000.0,2,1
22000,60,Deputy Probation Officer,10,0,91611.56,2,1
8000,36,teacher,1,0,45000.0,2,1
1000,36,Private Caretaker,2,0,41040.0,11,1
23075,60,,0,2,50400.0,2,0
9000,36,Account Executive,9,2,90000.0,2,1
10400,36,Administrative Assistant,10,2,54000.0,2,1
8000,36,Registered Nurse,2,0,72000.0,2,1
10000,60,Team Leader,3,1,58000.0,2,1
18000,60,Sales ,8,1,86000.0,3,1
8400,36,Forklift driver ,10,2,53000.0,2,1
21600,36,Aircraft Mechanic,0,1,84000.0,2,1
3000,36,Graduate Advisor,10,2,64300.0,10,1
35000,60,PHYSICIAN,8,2,167000.0,3,1
8000,36,Bartender,4,0,50000.0,2,0
4000,36,sales associate,10,0,58000.0,6,1
12000,60,Sales,3,1,100000.0,1,1
18000,60,Sr Safety Systems Engineer,5,2,115000.0,2,1
9825,36,Nurse,10,2,37697.0,2,0
7675,36,Family Nurse Practitioner,1,1,100000.0,3,0
20000,36,Superintendent ,10,0,168764.0,3,1
3000,36,Outreach and enrollment specialist ,0,0,38000.0,7,0
20000,36,Transit Vehicle Technician,2,2,40000.0,5,0
19200,36,Supervisor,4,2,105000.0,1,1
9600,36,Engineering Manager,6,2,99000.0,1,1
32000,60,(ET1)Electronics Technichian First Class,10,2,72000.0,2,0
5000,36,COOK SUPERVISOR,1,2,22000.0,2,0
15000,60,Planner,8,0,69000.0,1,0
12000,60,Community Manager,2,0,65000.0,2,1
10000,36,Mechanic,10,2,41000.0,2,1
35000,36,Equipment Specialist,10,2,110000.0,2,0
25000,60,Senior Account Manager,3,0,117000.0,5,0
33075,60,,0,2,90000.0,2,0
5000,36,Firefighter,2,0,44000.0,2,1
12150,36,Administrative assistant ,3,0,40000.0,5,1
16000,36,Accounts payable clerk,6,1,50000.0,2,1
26000,60,Technician,4,2,75000.0,2,1
30000,36,Bookkeeper,3,2,175000.0,1,1
19000,60,Teacher / Coach,4,2,57000.0,2,1
23100,36,General manager,3,0,55000.0,2,0
11375,36,Office Assistant,7,2,49996.0,2,1
16000,36,Public Facilities Electronic Security Co,10,2,95000.0,2,1
28000,60,Line tech,10,2,118000.0,1,0
8950,36,Care Giver,2,2,30000.0,2,1
15400,36,Paralegal,9,2,43000.0,2,0
8000,36,Inspector,10,2,52000.0,2,1
12000,36,,0,0,50000.0,2,1
1500,36,manager,8,1,38000.0,1,0
20000,36,Physician assistant,7,2,160000.0,3,1
35000,36,Systems Analyst,10,2,125000.0,1,0
13000,36,Supervisor,8,1,65000.0,1,1
15000,36,Finanaical Advisor,5,0,95000.0,2,1
20000,60,Cooler Mover,10,0,59660.0,2,0
25425,60,E/I tech ,10,1,125000.0,3,0
12500,36,Manager,9,1,100000.0,2,0
4000,36,Child care teacher,9,2,20000.0,11,0
12600,36,PROJECT ASSISTANT,1,0,35000.0,2,1
16000,36,Associate,10,1,75000.0,2,1
25000,60,Attorney,3,1,190000.0,3,1
2500,36,Aircraft Maintenance Officer,10,2,103692.0,2,1
5425,36,,0,0,17000.0,2,0
21000,36,,0,1,85000.0,1,0
15000,36,,0,2,35000.0,2,1
20000,36,Teacher,10,2,60000.0,3,1
8000,36,Manager,10,2,90000.0,2,1
27325,60,Senior Corrections Officer,7,2,54656.0,1,1
25525,60,VICE PRESIDENT,10,2,92000.0,2,1
21000,60,Senior Software Developer,10,2,96438.0,2,1
4200,36,owner,10,0,60000.0,1,0
22100,36,Client Officer ,8,2,57000.0,2,0
11000,60,,0,2,48000.0,1,0
12000,36,,0,1,68000.0,2,1
35000,60,Senior Art Director,10,0,73000.0,2,0
25000,36,RN,10,2,100000.0,2,0
12600,60,Manager,10,0,50000.0,11,0
2000,36,Security,10,0,81540.0,1,1
40000,60,,0,2,120000.0,2,1
7200,36,waithelp,10,0,29000.0,2,1
7200,36,Asst Manager,2,0,30000.0,2,1
7000,36,Charge Nurse,2,0,60000.0,2,1
7950,36,Production Manager,9,0,48000.0,2,0
30000,36,API Inspector,10,2,190000.0,3,0
8000,36,Sub teacher,3,2,30000.0,2,1
20000,36,Machine operator,0,0,50000.0,2,0
5000,36,,0,2,55000.0,3,1
7000,36,Teacher,5,2,218000.0,3,1
8050,36,Specialist,10,2,102000.0,3,0
8000,36,Inside Sales,1,0,45000.0,3,1
35000,60,Conductor,3,0,125000.0,2,0
5250,36,Accounts payable,3,0,26000.0,2,1
35000,60,Police Officer,10,2,154000.0,2,1
10000,36,,0,1,65000.0,2,1
4475,36,Polish ,4,0,40000.0,5,0
35000,60,Owner,5,2,200000.0,2,0
5600,36,Director of IT,5,2,200000.0,2,1
14000,60,Service tech,6,0,50000.0,11,0
5000,36,Deputy,4,2,42555.0,2,1
35000,60,General Counsel & Vice President,9,2,240000.0,2,1
20000,60,General Foreman,10,2,153000.0,2,0
5500,36,Weld shop,10,2,64000.0,2,0
3600,36,machinist,10,0,43500.0,2,1
5600,36,Asst. Bakery manager,10,0,40000.0,2,0
15000,36,Pediatric Emergency Physician,5,2,255000.0,3,1
